...1,unit_id_depth,latin_name,project,survey,date,site_id,site_habitat,site_latitude,site_longitude,site_substrate,site_depth,transect_id,transect_latitude,transect_longitude,transect_substrate,experimental_unit,unit_id,unit_size,unit_area_2D,unit_area_3D,unit_depth_corrected,total_count,avg_biomass,sd,se,unit_depth,density,biomass_density,loc.cat,round_depth,station,Station,bottom.depth.m,measurement.time,depth.m,conductivity.ms.cm,temp.deg.c,pressure.dbar,par.umol.m.s,fluorometry.chlorophyll,dissolved.o2.ml.l,salinity.psu
13800,2019-08-05_Pruth Bay I5_-0.13,Pycnopodia helianthoides,Seagrass,Seagrass inverts,2019-08-05,Pruth Bay,seagrass meadow,51.64532132,-128.1192523,sand,-0.5,Pruth Bay I5,51.64532132,-128.1192523,sand,transects,2019-08-05_Pruth Bay I5,30m x 2m,60,NA,-0.13,3,55.0222789693238,49.0299831576536,28.3074739744341,0.986957,0.05,0.00917037982822063,outer,1,SEA15,SEA15,5.8447066218343,2019-08-05T09:51:35Z,0.994,33.70446,14.4922,1,150.427,1.0511,5.668,27.1388
14610,2019-09-04_kwakume5038_1_10,Pycnopodia helianthoides,Seastar Wasting,Rocky Shore transects,2019-09-04,kwakume5038,NA,51.70870511,-127.8873169,bedrock,NA,kwakume5038_1,51.70870511,-127.8873169,bedrock,transects,2019-09-04_kwakume5038_1,30m x 2m,60,NA,10,0,0,0,0,NA,0,0,outer,10,SHORE3,SHORE3,10.4827188180924,2019-09-04T09:24:48Z,9.932,35.16806,12.0487,10,17.492,1.4787,4.807,30.2851
14628,2019-09-04_kwakume5038_2_5,Pycnopodia helianthoides,Seastar Wasting,Rocky Shore transects,2019-09-04,kwakume5038,NA,51.70870511,-127.8873169,bedrock,NA,kwakume5038_2,51.70870511,-127.8873169,bedrock,transects,2019-09-04_kwakume5038_2,30m x 2m,60,NA,5,0,0,0,0,NA,0,0,outer,5,SHORE3,SHORE3,10.4827188180924,2019-09-04T09:24:44Z,4.876,34.88006,13.0167,5,39.405,2.0722,4.9421,29.2509
14646,2019-09-04_kwakume5038_3_0,Pycnopodia helianthoides,Seastar Wasting,Rocky Shore transects,2019-09-04,kwakume5038,NA,51.70870511,-127.8873169,bedrock,NA,kwakume5038_3,51.70870511,-127.8873169,bedrock,transects,2019-09-04_kwakume5038_3,30m x 2m,60,NA,0,0,0,0,0,NA,0,0,outer,1,SHORE3,SHORE3,10.4827188180924,2019-09-04T09:24:40Z,1.011,34.15748,14.0836,1,85.887,2.599,5.9783,27.7948
14664,2019-09-04_kwakume5041_1_10,Pycnopodia helianthoides,Seastar Wasting,Rocky Shore transects,2019-09-04,kwakume5041,NA,51.70860511,-127.8769169,"sand,shellhash",NA,kwakume5041_1,51.70860511,-127.8769169,"sand,shellhash",transects,2019-09-04_kwakume5041_1,30m x 2m,60,NA,10,0,0,0,0,NA,0,0,outer,10,SHORE3,SHORE3,10.4827188180924,2019-09-04T09:24:48Z,9.932,35.16806,12.0487,10,17.492,1.4787,4.807,30.2851
14682,2019-09-04_kwakume5041_2_5,Pycnopodia helianthoides,Seastar Wasting,Rocky Shore transects,2019-09-04,kwakume5041,NA,51.70860511,-127.8769169,"sand,shellhash",NA,kwakume5041_2,51.70860511,-127.8769169,"sand,shellhash",transects,2019-09-04_kwakume5041_2,30m x 2m,60,NA,5,0,0,0,0,NA,0,0,outer,5,SHORE3,SHORE3,10.4827188180924,2019-09-04T09:24:44Z,4.876,34.88006,13.0167,5,39.405,2.0722,4.9421,29.2509
14700,2019-09-04_kwakume5041_3_0,Pycnopodia helianthoides,Seastar Wasting,Rocky Shore transects,2019-09-04,kwakume5041,NA,51.70860511,-127.8769169,"sand,shellhash",NA,kwakume5041_3,51.70860511,-127.8769169,"sand,shellhash",transects,2019-09-04_kwakume5041_3,30m x 2m,60,NA,0,1,44.0935068118539,0,0,1.592384,0.0166666666666667,0.00734891780197565,outer,1,SHORE3,SHORE3,10.4827188180924,2019-09-04T09:24:40Z,1.011,34.15748,14.0836,1,85.887,2.599,5.9783,27.7948
14718,2019-09-04_kwakume5050_2_5,Pycnopodia helianthoides,Seastar Wasting,Rocky Shore transects,2019-09-04,kwakume5050,NA,51.70320511,-127.8827169,"boulder,cobble",NA,kwakume5050_2,51.70320511,-127.8827169,"boulder,cobble",transects,2019-09-04_kwakume5050_2,30m x 2m,60,NA,5,0,0,0,0,NA,0,0,outer,5,SHORE3,SHORE3,10.4827188180924,2019-09-04T09:24:44Z,4.876,34.88006,13.0167,5,39.405,2.0722,4.9421,29.2509
14736,2019-09-04_kwakume5050_3_0,Pycnopodia helianthoides,Seastar Wasting,Rocky Shore transects,2019-09-04,kwakume5050,NA,51.70320511,-127.8827169,"boulder,cobble",NA,kwakume5050_3,51.70320511,-127.8827169,"boulder,cobble",transects,2019-09-04_kwakume5050_3,30m x 2m,60,NA,0,1,44.0935068118539,0,0,1.824614,0.0166666666666667,0.00734891780197565,outer,1,SHORE3,SHORE3,10.4827188180924,2019-09-04T09:24:40Z,1.011,34.15748,14.0836,1,85.887,2.599,5.9783,27.7948
16194,2020-05-17_Second 1_3.2272,Pycnopodia helianthoides,Seastar Wasting,Nereo transects,2020-05-17,Second,Nereocystis kelp forest,51.649467,-128.155367,"sand,bedrock",NA,Second 1,51.649421,-128.155057,bedrock,transects,2020-05-17_Second 1,30m x 2m,60,NA,3.2272,0,0,0,0,NA,0,0,outer,3,KELP08,KELP08,8.46301325662461,2020-05-17T09:55:44Z,3.004,33.83234,11.4092,3,37.876,5.4654,7.5558,29.518
16212,2020-05-17_Second 2_3.2472,Pycnopodia helianthoides,Seastar Wasting,Nereo transects,2020-05-17,Second,Nereocystis kelp forest,51.649467,-128.155367,"sand,bedrock",NA,Second 2,51.64943,-128.15517,sand,transects,2020-05-17_Second 2,30m x 2m,60,NA,3.2472,0,0,0,0,NA,0,0,outer,3,KELP08,KELP08,8.46301325662461,2020-05-17T09:55:44Z,3.004,33.83234,11.4092,3,37.876,5.4654,7.5558,29.518
16230,2020-05-17_Second 3_2.9472,Pycnopodia helianthoides,Seastar Wasting,Nereo transects,2020-05-17,Second,Nereocystis kelp forest,51.649467,-128.155367,"sand,bedrock",NA,Second 3,51.649264,-128.155246,boulder,transects,2020-05-17_Second 3,30m x 2m,60,NA,2.9472,0,0,0,0,NA,0,0,outer,3,KELP08,KELP08,8.46301325662461,2020-05-17T09:55:44Z,3.004,33.83234,11.4092,3,37.876,5.4654,7.5558,29.518
16302,2020-05-18_kwakshua0006_1_10,Pycnopodia helianthoides,Seastar Wasting,Rocky Shore transects,2020-05-18,kwakshua0006,NA,51.65284214,-128.1204474,"mud,cobble",NA,kwakshua0006_1,51.65284214,-128.1204474,"mud,cobble",transects,2020-05-18_kwakshua0006_1,30m x 2m,60,NA,10,5,6.52123787404605,5.54719918476794,2.48078289237451,13.269175,0.0833333333333333,0.00108687297900768,outer,10,SHORE4,SHORE4,18.6753157332332,2020-05-18T12:01:33Z,9.915,32.87541,9.5859,10,30.037,3.2672,6.2173,30.0583
16320,2020-05-18_kwakshua0006_2_5,Pycnopodia helianthoides,Seastar Wasting,Rocky Shore transects,2020-05-18,kwakshua0006,NA,51.65284214,-128.1204474,"mud,cobble",NA,kwakshua0006_2,51.65284214,-128.1204474,"mud,cobble",transects,2020-05-18_kwakshua0006_2,30m x 2m,60,NA,5,2,2.12506770901335,1.00972139349415,0.713980844448846,8.269175,0.0333333333333333,3.5417795150222e-4,outer,5,SHORE4,SHORE4,18.6753157332332,2020-05-18T12:01:30Z,4.95,32.578,11.4437,5,135.207,8.4443,7.1715,28.2819
16338,2020-05-18_kwakshua0006_3_0,Pycnopodia helianthoides,Seastar Wasting,Rocky Shore transects,2020-05-18,kwakshua0006,NA,51.65284214,-128.1204474,"mud,cobble",NA,kwakshua0006_3,51.65284214,-128.1204474,"mud,cobble",transects,2020-05-18_kwakshua0006_3,30m x 2m,60,NA,0,8,3.06240979131218,2.1389905216599,0.756247351379732,3.401486,0.133333333333333,5.1040163188536e-4,outer,1,SHORE4,SHORE4,18.6753157332332,2020-05-18T12:01:27Z,1.256,33.0576,12.7062,1,1723.193,1.5798,7.8655,27.7899
16356,2020-05-18_kwakshua146_1_10,Pycnopodia helianthoides,Seastar Wasting,Rocky Shore transects,2020-05-18,kwakshua146,NA,51.65812538,-128.1127092,"sand,shellhash",NA,kwakshua146_1,51.65812538,-128.1127092,"sand,shellhash",transects,2020-05-18_kwakshua146_1,30m x 2m,60,NA,10,0,0,0,0,NA,0,0,outer,10,SHORE4,SHORE4,18.6753157332332,2020-05-18T12:01:33Z,9.915,32.87541,9.5859,10,30.037,3.2672,6.2173,30.0583
16374,2020-05-18_kwakshua146_2_5,Pycnopodia helianthoides,Seastar Wasting,Rocky Shore transects,2020-05-18,kwakshua146,NA,51.65812538,-128.1127092,"sand,shellhash",NA,kwakshua146_2,51.65812538,-128.1127092,"sand,shellhash",transects,2020-05-18_kwakshua146_2,30m x 2m,60,NA,5,3,4.78763473710284,6.58753869191065,3.80331723707169,8.476529,0.05,7.9793912285047e-4,outer,5,SHORE4,SHORE4,18.6753157332332,2020-05-18T12:01:30Z,4.95,32.578,11.4437,5,135.207,8.4443,7.1715,28.2819
16392,2020-05-18_kwakshua146_3_0,Pycnopodia helianthoides,Seastar Wasting,Rocky Shore transects,2020-05-18,kwakshua146,NA,51.65812538,-128.1127092,"sand,shellhash",NA,kwakshua146_3,51.65812538,-128.1127092,"sand,shellhash",transects,2020-05-18_kwakshua146_3,30m x 2m,60,NA,0,1,1.4110868645645,0,0,3.476529,0.0166666666666667,2.3518114409408e-4,outer,1,SHORE4,SHORE4,18.6753157332332,2020-05-18T12:01:27Z,1.256,33.0576,12.7062,1,1723.193,1.5798,7.8655,27.7899
16410,2020-05-18_kwakshua154_1_10,Pycnopodia helianthoides,Seastar Wasting,Rocky Shore transects,2020-05-18,kwakshua154,NA,51.64854188,-128.094151,"sand,boulder",NA,kwakshua154_1,51.64854188,-128.094151,"sand,boulder",transects,2020-05-18_kwakshua154_1,30m x 2m,60,NA,10,0,0,0,0,NA,0,0,outer,10,SHORE4,SHORE4,18.6753157332332,2020-05-18T12:01:33Z,9.915,32.87541,9.5859,10,30.037,3.2672,6.2173,30.0583
16428,2020-05-18_kwakshua154_2_5,Pycnopodia helianthoides,Seastar Wasting,Rocky Shore transects,2020-05-18,kwakshua154,NA,51.64854188,-128.094151,"sand,boulder",NA,kwakshua154_2,51.64854188,-128.094151,"sand,boulder",transects,2020-05-18_kwakshua154_2,30m x 2m,60,NA,5,0,0,0,0,NA,0,0,outer,5,SHORE4,SHORE4,18.6753157332332,2020-05-18T12:01:30Z,4.95,32.578,11.4437,5,135.207,8.4443,7.1715,28.2819
16446,2020-05-18_kwakshua154_3_0,Pycnopodia helianthoides,Seastar Wasting,Rocky Shore transects,2020-05-18,kwakshua154,NA,51.64854188,-128.094151,"sand,boulder",NA,kwakshua154_3,51.64854188,-128.094151,"sand,boulder",transects,2020-05-18_kwakshua154_3,30m x 2m,60,NA,0,0,0,0,0,NA,0,0,outer,1,SHORE4,SHORE4,18.6753157332332,2020-05-18T12:01:27Z,1.256,33.0576,12.7062,1,1723.193,1.5798,7.8655,27.7899
16896,2020-07-12_North 1_2.8054,Pycnopodia helianthoides,Kelp,Nereo transects,2020-07-12,Northbeach,Nereocystis kelp forest,51.6670333333333,-128.13995,boulder,NA,North 1,51.667143,-128.140326,boulder,transects,2020-07-12_North 1,30m x 2m,60,NA,2.8054,0,0,0,0,NA,0,0,outer,3,KELP09,KELP09,5.87837013483275,2020-07-12T11:40:03Z,2.963,36.84737,13.6206,3,188.77,0.6332,6.5138,30.5992
16914,2020-07-12_North 2_2.9654,Pycnopodia helianthoides,Kelp,Nereo transects,2020-07-12,Northbeach,Nereocystis kelp forest,51.6670333333333,-128.13995,boulder,NA,North 2,51.667146,-128.140399,boulder,transects,2020-07-12_North 2,30m x 2m,60,NA,2.9654,0,0,0,0,NA,0,0,outer,3,KELP09,KELP09,5.87837013483275,2020-07-12T11:40:03Z,2.963,36.84737,13.6206,3,188.77,0.6332,6.5138,30.5992
16932,2020-07-12_North 3_3.2854,Pycnopodia helianthoides,Kelp,Nereo transects,2020-07-12,Northbeach,Nereocystis kelp forest,51.6670333333333,-128.13995,boulder,NA,North 3,51.667268,-128.140349,boulder,transects,2020-07-12_North 3,30m x 2m,60,NA,3.2854,0,0,0,0,NA,0,0,outer,3,KELP09,KELP09,5.87837013483275,2020-07-12T11:40:03Z,2.963,36.84737,13.6206,3,188.77,0.6332,6.5138,30.5992
16950,2020-07-12_Second 1_3.2272,Pycnopodia helianthoides,Kelp,Nereo transects,2020-07-12,Second,Nereocystis kelp forest,51.649467,-128.155367,"sand,bedrock",NA,Second 1,51.649421,-128.155057,bedrock,transects,2020-07-12_Second 1,30m x 2m,60,NA,3.2272,0,0,0,0,NA,0,0,outer,3,KELP08,KELP08,7.04010489206572,2020-07-12T10:43:24Z,2.988,36.75338,13.8529,3,240.973,0.6557,6.4161,30.3282
16968,2020-07-12_Second 2_3.2472,Pycnopodia helianthoides,Kelp,Nereo transects,2020-07-12,Second,Nereocystis kelp forest,51.649467,-128.155367,"sand,bedrock",NA,Second 2,51.64943,-128.15517,sand,transects,2020-07-12_Second 2,30m x 2m,60,NA,3.2472,0,0,0,0,NA,0,0,outer,3,KELP08,KELP08,7.04010489206572,2020-07-12T10:43:24Z,2.988,36.75338,13.8529,3,240.973,0.6557,6.4161,30.3282
16986,2020-07-12_Second 3_2.9472,Pycnopodia helianthoides,Kelp,Nereo transects,2020-07-12,Second,Nereocystis kelp forest,51.649467,-128.155367,"sand,bedrock",NA,Second 3,51.649264,-128.155246,boulder,transects,2020-07-12_Second 3,30m x 2m,60,NA,2.9472,1,1377.82966576409,0,0,4.870748,0.0166666666666667,0.229638277627349,outer,3,KELP08,KELP08,7.04010489206572,2020-07-12T10:43:24Z,2.988,36.75338,13.8529,3,240.973,0.6557,6.4161,30.3282
17166,2020-07-13_Triquetta 1_3.857,Pycnopodia helianthoides,Kelp,Nereo transects,2020-07-13,Triquetta,Nereocystis kelp forest,51.79739004,-128.23840018,cobble,NA,Triquetta 1,51.797498,-128.238573,cobble,transects,2020-07-13_Triquetta 1,30m x 2m,60,NA,3.857,0,0,0,0,NA,0,0,outer,4,KELP11,KELP11,5.72308228784427,2020-07-13T10:09:40Z,3.926,36.53784,14.0937,4,257.558,0.9903,6.8478,29.9425
17184,2020-07-13_Triquetta 2_3.597,Pycnopodia helianthoides,Kelp,Nereo transects,2020-07-13,Triquetta,Nereocystis kelp forest,51.79739004,-128.23840018,cobble,NA,Triquetta 2,51.797419,-128.23861,cobble,transects,2020-07-13_Triquetta 2,30m x 2m,60,NA,3.597,0,0,0,0,NA,0,0,outer,4,KELP11,KELP11,5.72308228784427,2020-07-13T10:09:40Z,3.926,36.53784,14.0937,4,257.558,0.9903,6.8478,29.9425
17202,2020-07-13_Triquetta 3_3.3267,Pycnopodia helianthoides,Kelp,Nereo transects,2020-07-13,Triquetta,Nereocystis kelp forest,51.79739004,-128.23840018,cobble,NA,Triquetta 3,51.797367,-128.238359,cobble,transects,2020-07-13_Triquetta 3,30m x 2m,60,NA,3.3267,0,0,0,0,NA,0,0,outer,3,KELP11,KELP11,5.72308228784427,2020-07-13T10:09:39Z,2.918,36.37931,14.1095,3,87.024,0.7197,6.9026,29.7864
17274,2020-07-16_Golden 1_2.5477,Pycnopodia helianthoides,Kelp,Macro transects,2020-07-16,Golden,Macrocystis kelp forest,51.90307,-128.213,"sand,bedrock",NA,Golden 1,51.903066,-128.213045,sand,transects,2020-07-16_Golden 1,30m x 2m,60,NA,2.5477,0,0,0,0,NA,0,0,outer,3,MACRO4,MACRO4,7.78602952314071,2020-07-16T10:09:55Z,2.91,36.62132,14.0688,3,86.835,1.5983,6.6536,30.0382
17292,2020-07-16_Golden 2_3.1477,Pycnopodia helianthoides,Kelp,Macro transects,2020-07-16,Golden,Macrocystis kelp forest,51.90307,-128.213,"sand,bedrock",NA,Golden 2,51.903126,-128.212971,bedrock,transects,2020-07-16_Golden 2,30m x 2m,60,NA,3.1477,0,0,0,0,NA,0,0,outer,3,MACRO4,MACRO4,7.78602952314071,2020-07-16T10:09:55Z,2.91,36.62132,14.0688,3,86.835,1.5983,6.6536,30.0382
17310,2020-07-16_Golden 3_3.4077,Pycnopodia helianthoides,Kelp,Macro transects,2020-07-16,Golden,Macrocystis kelp forest,51.90307,-128.213,"sand,bedrock",NA,Golden 3,51.902928,-128.212875,bedrock,transects,2020-07-16_Golden 3,30m x 2m,60,NA,3.4077,0,0,0,0,NA,0,0,outer,3,MACRO4,MACRO4,7.78602952314071,2020-07-16T10:09:55Z,2.91,36.62132,14.0688,3,86.835,1.5983,6.6536,30.0382
17328,2020-07-16_Simmonds 1_3.4542,Pycnopodia helianthoides,Kelp,Macro transects,2020-07-16,Simonds,Macrocystis kelp forest,51.959,-128.26195,"boulder,bedrock",NA,Simmonds 1,51.958925,-128.261735,"sand,bedrock",transects,2020-07-16_Simmonds 1,30m x 2m,60,NA,3.4542,0,0,0,0,NA,0,0,outer,3,MACRO5,MACRO5,7.80282558220869,2020-07-16T12:42:01Z,2.994,37.06341,14.1538,3,352.527,1.1004,6.6856,30.3743
17346,2020-07-16_Simmonds 2_3.6424,Pycnopodia helianthoides,Kelp,Macro transects,2020-07-16,Simonds,Macrocystis kelp forest,51.959,-128.26195,"boulder,bedrock",NA,Simmonds 2,51.958989,-128.261509,"sand,bedrock",transects,2020-07-16_Simmonds 2,30m x 2m,60,NA,3.6424,0,0,0,0,NA,0,0,outer,4,MACRO5,MACRO5,7.80282558220869,2020-07-16T12:42:02Z,3.97,37.03547,14.1252,4,303.389,1.2589,6.666,30.3711
